app,est,h,beta,se,lo,hi
MSV,FE,8,-0.3331623793945377,0.1689899125487127,-0.6643826079900147,-0.0019421507990606
MSV,FE,9,-0.207835256906095,0.1606001587748209,-0.5226115681047441,0.106941054292554
MSV,FE,10,-0.2839037996378669,0.1791311429175634,-0.6350008397562914,0.0671932404805574
MSV,SPJ,1,0.2027477226345936,0.0913857199487801,0.0236317115349845,0.3818637337342028
MSV,SPJ,2,0.2540440842504384,0.1370450645568307,-0.0145642422809497,0.5226524107818267
MSV,SPJ,3,0.2052582817238708,0.1791782656894325,-0.145931119027417,0.5564476824751586
MSV,SPJ,4,0.013651018813231,0.2077605368259498,-0.3935596333656306,0.4208616709920926
MSV,SPJ,5,-0.1916409473076988,0.2039000722333254,-0.5912850888850165,0.2080031942696189
MSV,SPJ,6,-0.4094384351189383,0.2199892628197553,-0.8406173902456588,0.0217405200077822
MSV,SPJ,7,-0.5576984938495485,0.2202084546907512,-0.9893070650434208,-0.1260899226556761
MSV,SPJ,8,-0.4900431777682181,0.2196807705173782,-0.9206174879822792,-0.0594688675541568
MSV,SPJ,9,-0.4278278286031152,0.2324198029485221,-0.8833706423822186,0.0277149851759881
MSV,SPJ,10,-0.5553020153087391,0.263770072780301,-1.0722913579581292,-0.0383126726593491
MSV,HPJ,1,0.4019187583239054,0.0818769976257053,0.241439842977523,0.5623976736702878
MSV,HPJ,2,0.5800014294942762,0.1239877307955748,0.3369854771349495,0.823017381853603
MSV,HPJ,3,0.69018960198167,0.1645182662262531,0.3677338001782138,1.0126454037851262
MSV,HPJ,4,0.6232284277433953,0.1919123860401906,0.2470801511046217,0.9993767043821687
MSV,HPJ,5,0.0628007180479822,0.1924890408481332,-0.3144778020143588,0.4400792381103233
MSV,HPJ,6,-0.2913190814936047,0.1930873350825045,-0.6697702582553137,0.0871320952681041
MSV,HPJ,7,-0.4388360395972033,0.1843462803799904,-0.8001547491419845,-0.077517330052422
MSV,HPJ,8,-0.642673674203617,0.1689899125487189,-0.973893902799106,-0.3114534456081278
MSV,HPJ,9,-0.4496733334592102,0.1606001587748348,-0.7644496446578865,-0.134897022260534
MSV,HPJ,10,-0.4906206849458221,0.1791311429175698,-0.8417177250642589,-0.1395236448273852
MSV,DB,1,0.2103706962060566,0.0818769976257089,0.049891780859667,0.3708496115524462
MSV,DB,2,0.2581637244742891,0.1239877307955755,0.0151477721149609,0.5011796768336172
MSV,DB,3,0.2186805958084556,0.1645182662262514,-0.1037752059949972,0.5411363976119086
MSV,DB,4,0.0204980906477888,0.1919123860401866,-0.3556501859909768,0.3966463672865546
MSV,DB,5,-0.1565287155689119,0.1924890408481331,-0.5338072356312529,0.2207498044934289
MSV,DB,6,-0.3103160185156729,0.1930873350825069,-0.6887671952773864,0.0681351582460405
MSV,DB,7,-0.3870785517214023,0.1843462803799829,-0.7483972612661689,-0.0257598421766357
MSV,DB,8,-0.3331623793945377,0.1689899125487127,-0.6643826079900147,-0.0019421507990606
MSV,DB,9,-0.207835256906095,0.1606001587748209,-0.5226115681047441,0.106941054292554
MSV,DB,10,-0.2839037996378669,0.1791311429175634,-0.6350008397562914,0.0671932404805574
MSV,CDOLS,1,,,,
MSV,CDOLS,2,-0.0137758781596998,0.0095219400451561,-0.0324388806482059,0.0048871243288061
MSV,CDOLS,3,-0.0165053189017616,0.0098649652485944,-0.0358406507890068,0.0028300129854835
MSV,CDOLS,4,-0.0167688253348374,0.0101140459099677,-0.0365923553183741,0.0030547046486992
MSV,CDOLS,5,-0.0156509822741816,0.0100625180546906,-0.0353735176613752,0.0040715531130119
MSV,CDOLS,6,-0.0142078767920615,0.0103180455707636,-0.0344312461107582,0.0060154925266352
MSV,CDOLS,7,-0.0125222577026969,0.010411096933993,-0.0329280076933233,0.0078834922879295
MSV,CDOLS,8,-0.0100977731146801,0.0104544803551475,-0.0305885546107693,0.0103930083814091
MSV,CDOLS,9,-0.0098205622932958,0.0109677028918703,-0.0313172599613616,0.0116761353747699
MSV,CDOLS,10,-0.0078666796560056,0.0111876581304078,-0.029794489591605,0.0140611302795937
CS,FE,1,-2.588948357954141,0.3237405390557462,-3.223479814503404,-1.9544169014048784
CS,FE,2,-3.384914897632219,0.4514282775013108,-4.269714321534789,-2.50011547372965
CS,FE,3,-4.202263361829012,0.5459640304602525,-5.272352861531108,-3.1321738621269173
CS,FE,4,-4.543467566477674,0.6369429566526589,-5.791875761516886,-3.295059371438463
CS,FE,5,-4.580893048093387,0.6948737267473214,-5.942845552518136,-3.2189405436686367
CS,FE,6,-5.134319349997094,0.7250261246760578,-6.555370554362167,-3.713268145632021
CS,FE,7,-4.719690285100985,0.7343659040707784,-6.159047457079711,-3.28033311312226
CS,FE,8,-4.612537247785937,0.7549816168510941,-6.092301216814081,-3.132773278757793
CS,FE,9,-4.311073966829269,0.780844344530484,-5.841528882109017,-2.78061905154952
CS,FE,10,-4.506567303988432,0.8403503754723969,-6.15365403991433,-2.8594805680625344
CS,SPJ,1,-2.61928996488869,0.3383821077485899,-3.2825188960759264,-1.9560610337014537
CS,SPJ,2,-3.488355877102608,0.4744991446581908,-4.418374200632662,-2.558337553572554
CS,SPJ,3,-4.787605110262037,0.6060176027773542,-5.975399611705651,-3.599810608818423
CS,SPJ,4,-5.484683090185934,0.7137422489574745,-6.883617898142584,-4.085748282229284
CS,SPJ,5,-6.088340285463952,0.7783824947833047,-7.613969975239229,-4.562710595688674
CS,SPJ,6,-7.092022173064607,0.8255423555902704,-8.710085190021537,-5.473959156107677
CS,SPJ,7,-7.396198412680886,0.8340563579668498,-9.030948874295913,-5.76144795106586
