cell,N,T,rho,sig_lam,est,D_I,bias_hmean,coverage_hmean,rmse_hmean,grade
main_N200_T100_rho0.5_xsd0,200,100,0.5,0.0,SPJ,0.0069581733088732636,0.0016041100959107454,0.926969696969697,0.00873682813846573,good
main_N200_T100_rho0.5_xsd1,200,100,0.5,1.0,CDOLS,0.029700120490873397,-0.01703053284087141,0.41484848484848486,0.03783996692352566,poor
main_N200_T100_rho0.5_xsd1,200,100,0.5,1.0,DB,0.027479283130934597,0.0024001800368529374,0.7206060606060606,0.03543329343612673,poor
main_N200_T100_rho0.5_xsd1,200,100,0.5,1.0,FE,0.03078468533224886,0.016425034670840118,0.6675757575757575,0.039066340304238806,poor
main_N200_T100_rho0.5_xsd1,200,100,0.5,1.0,HPJ,0.03577822533795794,0.015932804388236247,0.5957575757575757,0.04497801588597255,poor
main_N200_T100_rho0.5_xsd1,200,100,0.5,1.0,SPJ,0.03005188026537289,0.0026748499544052545,0.7051515151515151,0.03914703162977464,poor
main_N200_T100_rho0.8_xsd0,200,100,0.8,0.0,CDOLS,0.05172143259912854,-0.050983508870348596,0.1618181818181818,0.05773637510384098,poor
main_N200_T100_rho0.8_xsd0,200,100,0.8,0.0,DB,0.008132296965155118,0.005305427992047237,0.7593939393939394,0.010645276574305003,poor
main_N200_T100_rho0.8_xsd0,200,100,0.8,0.0,FE,0.03481473561455434,0.03450344333391933,0.12575757575757573,0.039220915592858306,poor
main_N200_T100_rho0.8_xsd0,200,100,0.8,0.0,HPJ,0.03468653836569283,0.032406122482248195,0.20787878787878789,0.04282171105909814,poor
main_N200_T100_rho0.8_xsd0,200,100,0.8,0.0,SPJ,0.008210278551608954,0.0015576857251521454,0.8266666666666665,0.010733459943453247,poor
main_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,CDOLS,0.038852482545459636,-0.026873407174130406,0.36818181818181817,0.05051831559694017,poor
main_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,DB,0.03596612634770255,0.009344902767578793,0.5696969696969698,0.04735412719553273,poor
main_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,FE,0.04770835558173278,0.03827740084182956,0.4436363636363636,0.06113922069681257,poor
main_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,HPJ,0.051031635092795985,0.03837335788765037,0.3845454545454545,0.06466423792592518,poor
main_N200_T100_rho0.8_xsd1,200,100,0.8,1.0,SPJ,0.042952690270132876,0.00393952692077809,0.5493939393939393,0.05746027224090322,poor
main_N200_T100_rho0.95_xsd0,200,100,0.95,0.0,CDOLS,0.05184932560172773,-0.05098803593664762,0.23878787878787877,0.060572563735579114,poor
main_N200_T100_rho0.95_xsd0,200,100,0.95,0.0,DB,0.019660884526011266,0.01941123401445943,0.2615151515151515,0.02461701486310906,poor
main_N200_T100_rho0.95_xsd0,200,100,0.95,0.0,FE,0.0590166696652505,0.05883697153583185,0.08848484848484849,0.0688792152131273,poor
main_N200_T100_rho0.95_xsd0,200,100,0.95,0.0,HPJ,0.057599479433318626,0.05704611503951666,0.07515151515151514,0.06983601481457047,poor
main_N200_T100_rho0.95_xsd0,200,100,0.95,0.0,SPJ,0.00930750747948061,-0.002145368721339899,0.776969696969697,0.012866109377093569,poor
main_N200_T100_rho0.95_xsd1,200,100,0.95,1.0,CDOLS,0.04655541029286572,-0.029198279794893166,0.36363636363636365,0.06445026948584576,poor
main_N200_T100_rho0.95_xsd1,200,100,0.95,1.0,DB,0.04199756411136835,0.02989294067083309,0.4112121212121212,0.05610790510609805,poor
main_N200_T100_rho0.95_xsd1,200,100,0.95,1.0,FE,0.07174306315172876,0.07037989316577122,0.24030303030303032,0.09159574527350205,poor
main_N200_T100_rho0.95_xsd1,200,100,0.95,1.0,HPJ,0.0725324333824866,0.07028964951516077,0.2051515151515151,0.09338677802379006,poor
main_N200_T100_rho0.95_xsd1,200,100,0.95,1.0,SPJ,0.04580324795177235,0.0050156118112394425,0.48303030303030303,0.06366945149918274,poor
main_N200_T20_rho0.2_xsd0,200,20,0.2,0.0,CDOLS,0.02835494658461599,-0.020939135179875428,0.862857142857143,0.03534738184438819,moderate
main_N200_T20_rho0.2_xsd0,200,20,0.2,0.0,DB,0.01738952448696167,0.006876692919744861,0.9266666666666666,0.021720686163090443,good
main_N200_T20_rho0.2_xsd0,200,20,0.2,0.0,FE,0.03966719738559681,0.03744394765560688,0.49571428571428566,0.045334866556355026,poor
main_N200_T20_rho0.2_xsd0,200,20,0.2,0.0,HPJ,0.055732068622153894,0.03818677896557051,0.40904761904761905,0.0694540669394883,poor
main_N200_T20_rho0.2_xsd0,200,20,0.2,0.0,SPJ,0.027528577307607986,0.019567402217542346,0.8085714285714286,0.03582905546121781,poor
main_N200_T20_rho0.2_xsd1,200,20,0.2,1.0,CDOLS,0.05233627151643174,-0.011004441857795243,0.5185714285714285,0.0674491331583308,poor
main_N200_T20_rho0.2_xsd1,200,20,0.2,1.0,DB,0.05020712502255653,0.008613026357956643,0.5642857142857143,0.06517323770616136,poor
main_N200_T20_rho0.2_xsd1,200,20,0.2,1.0,FE,0.06005596916712277,0.03943665459869762,0.4838095238095238,0.07727639756610606,poor
main_N200_T20_rho0.2_xsd1,200,20,0.2,1.0,HPJ,0.07010968033260931,0.040039481304107054,0.38904761904761903,0.08860846711892795,poor
main_N200_T20_rho0.2_xsd1,200,20,0.2,1.0,SPJ,0.060031896510491005,0.022691052930533084,0.5390476190476191,0.07903767797809529,poor
main_N200_T20_rho0.5_xsd0,200,20,0.5,0.0,CDOLS,0.03391326129380061,-0.028330366111972476,0.7957142857142857,0.04178736148970608,poor
main_N200_T20_rho0.5_xsd0,200,20,0.5,0.0,DB,0.024148996671469185,0.01981675252382934,0.7757142857142858,0.030020258686727804,poor
main_N200_T20_rho0.5_xsd0,200,20,0.5,0.0,FE,0.0714300766408338,0.06976003242262714,0.16571428571428568,0.07908194177378967,poor
main_N200_T20_rho0.5_xsd0,200,20,0.5,0.0,HPJ,0.07870658489131445,0.07075148851917032,0.2495238095238095,0.09483629632280284,poor
main_N200_T20_rho0.5_xsd0,200,20,0.5,0.0,SPJ,0.041960337561280904,0.03403147723714175,0.6633333333333332,0.0571444898141556,poor
main_N200_T20_rho0.5_xsd1,200,20,0.5,1.0,CDOLS,0.05607080262144391,-0.0135895877414392,0.5052380952380952,0.07292364556455232,poor
main_N200_T20_rho0.5_xsd1,200,20,0.5,1.0,DB,0.056777957608776526,0.02464062220794146,0.4923809523809524,0.0737152725036575,poor
main_N200_T20_rho0.5_xsd1,200,20,0.5,1.0,FE,0.08379658775494293,0.07427313355457875,0.3471428571428571,0.10569369636228702,poor
main_N200_T20_rho0.5_xsd1,200,20,0.5,1.0,HPJ,0.09128212319176451,0.07518130173344302,0.2833333333333333,0.11377543111967317,poor
main_N200_T20_rho0.5_xsd1,200,20,0.5,1.0,SPJ,0.07737758747443557,0.040365718574935094,0.46904761904761905,0.10415671186148592,poor
main_N200_T20_rho0.8_xsd0,200,20,0.8,0.0,CDOLS,0.04457434340503701,-0.03985764421924542,0.6842857142857143,0.05448157701689193,poor
main_N200_T20_rho0.8_xsd0,200,20,0.8,0.0,DB,0.07252990361482585,0.07104702164240274,0.25571428571428567,0.08690080505220271,poor
main_N200_T20_rho0.8_xsd0,200,20,0.8,0.0,FE,0.14894462311312337,0.14755560701474105,0.13666666666666666,0.17007005884010382,poor
main_N200_T20_rho0.8_xsd0,200,20,0.8,0.0,HPJ,0.1516856544648995,0.1478327288418438,0.10476190476190475,0.17726813342527334,poor
