est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,mode
FE,2,0.0554447147500259,0.0756352739760659,0.0632052929872488,0.62,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,3,0.0719193082119188,0.0965354165369857,0.0815332777026877,0.58,0.9866666666666668,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,4,0.0853033899692496,0.1128594571866754,0.0961659802159584,0.5155555555555555,0.7888888888888889,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,5,0.0948079231382061,0.1244541714189755,0.1062273241025716,0.4822222222222222,0.5088888888888888,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,6,0.1022377037430956,0.1315647016498719,0.112836239331243,0.4755555555555555,0.2955555555555555,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,7,0.1053828846362472,0.1341986168327404,0.1150971592186795,0.4533333333333333,0.2066666666666666,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,8,0.1070159684560398,0.1359135360064428,0.1167794971870457,0.4444444444444444,0.2066666666666666,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,9,0.1076620291106921,0.135109009107188,0.1164905731591423,0.4711111111111111,0.2333333333333333,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,10,0.1081737428703377,0.1338245901705403,0.1163238936341175,0.4555555555555555,0.2644444444444444,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,0,0.0003016015946288,0.0799542734732867,0.0605175552457382,0.3466666666666667,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,1,0.0312457229706347,0.0760001227911033,0.0592911532976823,0.54,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,2,0.0541974650241545,0.1026921269622044,0.0820024054412741,0.5622222222222222,0.9955555555555556,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,3,0.0717099202041225,0.124723168086535,0.101231213509694,0.5155555555555555,0.9244444444444444,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,4,0.085916972192385,0.1428751505988118,0.1171316380850136,0.4444444444444444,0.7111111111111111,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,5,0.0934018031038951,0.1533278218231247,0.1239626925408039,0.4666666666666667,0.56,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,6,0.1023083291552069,0.1610088667498033,0.1303741888759428,0.4711111111111111,0.4288888888888889,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,7,0.1040152853111708,0.1627315258409333,0.1331897192322549,0.4466666666666666,0.3911111111111111,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,8,0.1104695339591621,0.1678646281435475,0.1381727762141406,0.4288888888888889,0.3977777777777778,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,9,0.1116352374404689,0.1688256034341963,0.1416695958517509,0.4066666666666667,0.4,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
HPJ,10,0.111486823015054,0.1691667315379591,0.1405832321481655,0.4111111111111111,0.4288888888888889,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,0,-0.0002662968253119,0.026686063139791,0.0209938034950633,0.8244444444444444,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,1,-0.0007582380101134,0.0443431243953907,0.0340458959986073,0.8755555555555555,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,2,0.0013762543184173,0.0704635815411753,0.0530688189959295,0.8466666666666667,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,3,0.0042399211423116,0.0914232627997289,0.0699683598138459,0.7911111111111111,0.9933333333333332,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,4,0.0097516284246222,0.1078372184776965,0.0827098779564234,0.7577777777777778,0.8977777777777778,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,5,0.01470195672828,0.1198101678784277,0.0921408179590528,0.7066666666666667,0.6644444444444444,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,6,0.0215345955444366,0.126220536193074,0.0983908686780626,0.7088888888888889,0.4888888888888889,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,7,0.0266642087252706,0.1305938202197055,0.1023082624954134,0.6977777777777778,0.3355555555555555,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,8,0.0341486374949322,0.1332137202944754,0.1060473749452665,0.6911111111111111,0.2733333333333333,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,9,0.0417711447509191,0.1343305982697928,0.108198915987815,0.6844444444444444,0.2488888888888888,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
SPJ,10,0.0522897212654668,0.1345031592052701,0.1102527821878844,0.6911111111111111,0.22,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,0,-0.0035678133401656,0.0610535548411403,0.0490711025300669,0.9177777777777778,0.0822222222222222,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,1,0.0007239280333044,0.0350274385446972,0.0276412191826858,0.9177777777777778,0.0822222222222222,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,2,0.0003212841806523,0.0392155580039245,0.0307640844701826,0.8866666666666667,0.1133333333333333,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,3,0.0003796092550844,0.0371661493880026,0.0303147612943316,0.9222222222222224,0.0777777777777777,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,4,0.0002926652965107,0.0391734199184537,0.0313642252048839,0.92,0.08,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,5,0.000119129249888,0.0389474498372351,0.030266470411614,0.9133333333333332,0.0866666666666666,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,6,0.0013826353162269,0.0371195701671301,0.0297552315141537,0.9288888888888888,0.0711111111111111,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,7,0.0007820207000297,0.0399091028444885,0.0320201046904806,0.9088888888888887,0.0911111111111111,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,8,-0.0003825337332122,0.0377624893194023,0.0296112886452404,0.9311111111111112,0.0688888888888888,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,9,0.000112525509454,0.0391460548823613,0.0303869031348918,0.9222222222222224,0.0777777777777777,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
CDOLS,10,0.0007476011768603,0.0397172406930975,0.0305893541431271,0.9288888888888888,0.0711111111111111,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,0,-0.0003720273937415,0.0265400434565377,0.0208723788733888,0.7577777777777778,0.2422222222222222,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,1,0.0010864692947518,0.0177999265023597,0.0143631282046096,0.9044444444444444,0.0955555555555555,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,2,0.0005924853596443,0.018314222148703,0.0144135784958089,0.9044444444444444,0.0955555555555555,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,3,0.0005423800065045,0.0184743318331447,0.0147976538507167,0.8911111111111111,0.1088888888888888,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,4,0.0005066146397569,0.0186122254339165,0.0146674163126338,0.9,0.1,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,5,0.000672938555554,0.0176769047613451,0.0141025603737919,0.9155555555555556,0.0844444444444444,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,6,0.0009559573722309,0.0184330614839474,0.0145829994876986,0.9244444444444444,0.0755555555555555,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,7,0.0001564136886186,0.0180756354602794,0.0145020281646542,0.9111111111111112,0.0888888888888888,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,8,7.140812549496086e-05,0.0182745379478591,0.0141925086016724,0.9288888888888888,0.0711111111111111,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,9,4.20184561691425e-05,0.0197000165734284,0.0156001355600023,0.9222222222222224,0.0777777777777777,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
DB,10,5.0198096596923e-05,0.018945681319931,0.0148656125782856,0.9177777777777778,0.0822222222222222,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,0,-0.0003720273937415,0.0265400434565377,0.0208723788733888,0.7577777777777778,0.2422222222222222,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,1,0.00109942915523,0.017497420692881,0.0140806013785502,0.9111111111111112,0.0888888888888888,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,2,0.0006170793682751,0.018019228353761,0.0142051592014766,0.9066666666666666,0.0933333333333333,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,3,0.0005770393744214,0.0181572649429658,0.0145880474442428,0.9066666666666666,0.0933333333333333,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,4,0.0005497501483475,0.0184074155412341,0.0145275485995185,0.9066666666666666,0.0933333333333333,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,5,0.0007230527992886,0.0175965708004683,0.0140475679835131,0.92,0.08,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,6,0.001011692695503,0.0183891263072446,0.0146270863714491,0.9177777777777778,0.0822222222222222,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,7,0.0002165638521087,0.0179705549394613,0.0143389182749913,0.9111111111111112,0.0888888888888888,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,8,0.0001349105083973,0.0183729433021135,0.0143439747687497,0.9333333333333332,0.0666666666666666,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,9,0.0001079366638456,0.019674080224497,0.0156475893024454,0.9088888888888887,0.0911111111111111,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
FE,10,0.0001177005925215,0.018933095206947,0.0150392675746196,0.92,0.08,450,power_null_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,null
