est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,het_rho,het_beta
FE,3,0.0561525719512741,0.0656729615597379,0.0576330315109009,0.53,0.1233333333333333,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,4,0.0621415129414455,0.071004247150335,0.0631503346341662,0.4633333333333333,0.1466666666666666,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,5,0.06310199640497,0.0708702956240905,0.0639586074933351,0.49,0.31,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,6,0.0635624314715203,0.07224496811444,0.0646569479602229,0.4766666666666667,0.4,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,7,0.0592303600324054,0.0689854835111665,0.0608372645056075,0.56,0.39,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,8,0.0586557579044286,0.0692875415682549,0.0602308793302519,0.55,0.42,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,9,0.0572642463097477,0.0696373851220461,0.0594476542464798,0.56,0.4266666666666667,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,10,0.0533231885310593,0.0700434519465514,0.0592618506548975,0.6333333333333333,0.36,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,0,0.0052822445447707,0.1343033654256242,0.1061619911143052,0.2833333333333333,1.0,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,1,0.0377708439184414,0.1056699799094079,0.0849058793644467,0.4,0.9833333333333332,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,2,0.0558115326649576,0.1022156757369162,0.083298549346348,0.4,0.69,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,3,0.0626034894948597,0.1099774678344529,0.0903659888125767,0.3733333333333333,0.4966666666666666,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,4,0.0600712149164776,0.1141384867710746,0.0900823699390272,0.4233333333333333,0.5466666666666666,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,5,0.0665078707380321,0.1205075794966736,0.0951604791594262,0.4266666666666667,0.54,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,6,0.0731801962782198,0.1313292748472362,0.1039715680384191,0.3966666666666666,0.6066666666666667,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,7,0.0630349404308539,0.115393271254379,0.0917803583919461,0.39,0.6,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,8,0.0620732467036273,0.1190435290237588,0.0968557137577017,0.3966666666666666,0.5933333333333334,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,9,0.0498377912667616,0.1204003517409747,0.0953854207089758,0.4366666666666666,0.5666666666666667,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
HPJ,10,0.0468520432070074,0.1203400685015548,0.096400094834436,0.42,0.58,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
SPJ,0,0.0036959564028382,0.0300598243779315,0.0243142982711625,0.93,1.0,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
SPJ,1,0.000199678192491,0.0312761982004964,0.0246158149177149,0.9566666666666668,1.0,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
SPJ,2,0.0009286818508997,0.035452263373198,0.0280983579128519,0.93,0.99,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
SPJ,3,0.0040363409423128,0.0385768255299843,0.0313069167446724,0.9266666666666666,0.5333333333333333,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
SPJ,4,0.0131304285865229,0.04155993222797,0.0335849430882585,0.9066666666666666,0.12,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
SPJ,5,0.0210135779643353,0.0423456530492541,0.0339457022454749,0.8933333333333333,0.0433333333333333,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
