ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
724,1929,-0.034162018,-0.059949476,-0.03859929,-0.058363922,-0.021288522,-0.0013853237,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.068335898,0.0038983098,0.083102278,-0.0037229597,0.0084239999,0.0041800002,0.00139,0.002106
724,1930,-0.025787458,-0.0044372734,-0.024201903,0.012873497,0.032776695,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034162018,0.068335898,0.0038983098,0.083102278,0.0034700001,0.0084239999,0.0041800002,0.00139
724,1931,0.021350184,0.0015855543,0.038660955,0.058564153,,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.025787458,-0.034162018,0.068335898,0.0038983098,-0.017556001,0.0034700001,0.0084239999,0.0041800002
724,1932,-0.01976463,0.01731077,0.037213966,,,,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.021350184,-0.025787458,-0.034162018,0.068335898,0.00043099999,-0.017556001,0.0034700001,0.0084239999
724,1946,0.016330469,0.018784704,0.012310497,0.042822175,0.13755664,0.21600227,0,0,,,,,,,0.043903492,,,,,,,
724,1947,0.0024542348,-0.004019971,0.026491705,0.12122616,0.19967179,0.19640827,0,0,0.0,,,0.0,,,0.016330469,0.043903492,,,0.050827,,,
724,1948,-0.0064742058,0.024037469,0.11877193,0.19721755,0.19395404,0.26714996,0,1,0.0,0.0,,0.0,0.0,,0.0024542348,0.016330469,0.043903492,,0.00416,0.050827,,
724,1949,0.030511675,0.12524614,0.20369177,0.20042825,0.27362418,0.31270486,0,0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0064742058,0.0024542348,0.016330469,0.043903492,0.011764,0.00416,0.050827,
724,1950,0.09473446,0.17318009,0.16991657,0.24311249,0.28219315,0.36039764,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.030511675,-0.0064742058,0.0024542348,0.016330469,0.001852,0.011764,0.00416,0.050827
724,1951,0.078445628,0.07518211,0.14837803,0.18745871,0.26566318,0.29715455,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.09473446,0.030511675,-0.0064742058,0.0024542348,-0.036729999,0.001852,0.011764,0.00416
724,1952,-0.0032635201,0.069932401,0.10901308,0.18721756,0.21870893,0.26101339,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.078445628,0.09473446,0.030511675,-0.0064742058,0.027721999,-0.036729999,0.001852,0.011764
724,1953,0.073195919,0.1122766,0.19048107,0.22197244,0.26427686,0.24104142,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032635201,0.078445628,0.09473446,0.030511675,0.018890001,0.027721999,-0.036729999,0.001852
